"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","visib","wdsp","fog","NUM_COLLISIONS"
"134",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,36.4,7.6,4,0,-0.399320506618594
"135",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,33.7,9.9,9.1,0,-0.389351659797788
"136",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,35.4,2.6,4.9,1,-0.568790902572291
"137",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,25.5,10,21.7,0,0.627470715924395
"138",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,31.6,9.1,15.4,0,-0.758198992167599
"139",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,28.9,8.1,11.4,0,-0.0205043274279766
"140",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,34.6,6.1,17.5,1,-1.96442945748509
"141",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,33.5,10,6.5,0,0.587595328641172
"142",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,34.5,6.3,25.6,0,-0.818012073092434
"143",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,30.5,10,7.9,0,-0.658510523959542
"144",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,32.3,8.2,8.8,0,0.178872608988138
"145",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,35.8,2.8,14.1,0,-0.508977821647457
"146",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,34.5,10,14.9,0,-0.359445119335371
"147",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,31.8,9.9,13.6,0,-2.03421138523073
"148",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,20.2,10,13.3,0,-1.03732670315016
"149",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,33.2,8.3,6.8,0,-0.0304731742487823
"150",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,34.5,9.8,6.9,0,-1.19682825228305
"151",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,28.1,8.2,9.8,1,-0.279694344768925
"152",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,28.1,7.5,15,1,-0.379382812976982
"153",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,51.3,4.9,16.2,1,-1.36629864823675
"154",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,43.2,8.4,17.5,1,0.806909958698897
"155",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2018,37.1,5.9,21,0,-1.34636095459514
"156",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018,9.3,10,12.7,0,-1.23670363956627
