"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS"
"78",5,2018,1,18,2018-01-18,32.4,29.5,1013.5,8.4,10.2,15,19,41,28.9,0.04,0,634
"79",5,2013,1,17,2013-01-17,39.4,34.6,1014.2,8.6,8.6,14,20,41,37,0.47,1,491
"80",3,2013,1,1,2013-01-01,38,25.6,1008.8,10,15,21,28,41,33.1,0,0,381
"81",6,2015,1,30,2015-01-30,35.1,31.1,1012.2,8.4,8.1,15,19.5,41,23,0,0,622
"82",6,2017,1,6,2017-01-06,31.7,25.8,1015.2,6.1,8.9,13,16.9,41,28.9,0.03,1,600
"83",1,2014,1,19,2014-01-19,36.1,29,1005.7,10,16.5,28,38.1,43,32,0.04,0,380
"84",2,2015,1,26,2015-01-26,31.2,20.9,1015.7,6.7,12.7,24.1,31.1,43,26.1,0,0,484
"85",5,2019,1,17,2019-01-17,29.4,15,1024.6,10,11.2,17.1,25.1,43,19,0,0,586
"86",4,2016,1,13,2016-01-13,32.9,18.2,1005.8,9.6,18,32.1,42,43,19.9,0.13,0,605
"87",3,2016,1,5,2016-01-05,27.7,18.1,1028.5,7.9,20.3,28.9,39,43,24.1,0,0,640
"88",2,2017,1,30,2017-01-30,34,23.1,1006.1,9.7,6.5,15,22,43,24.1,0,0,545
"89",4,2019,1,16,2019-01-16,31.3,23.1,1017.3,9.8,9.1,19,26,43,19,0,0,579
"90",2,2017,1,16,2017-01-16,31.6,20.7,1029,10,6.2,15,18.1,43,21,0,0,477
"91",3,2018,1,9,2018-01-09,38.3,32.3,1016.8,9.3,14.6,21,28,43,30.9,0.01,0,684
"92",1,2017,1,29,2017-01-29,38,26.4,1005.7,9.9,10.2,15,22,43,34,0,0,428
"93",6,2015,1,2,2015-01-02,40.4,21.5,1018.3,10,13.1,19,31.1,45,28,0,0,442
"94",4,2013,1,16,2013-01-16,41.6,40,1018.3,7,8.8,21,27,45,39.2,0.35,0,578
"95",5,2017,1,19,2017-01-19,40.7,36.9,1014.4,7.4,7.6,14,22,45,37,0.1,0,610
"96",6,2016,1,29,2016-01-29,41.3,36.8,999.4,10,5.9,9.9,12.87,45,23,0,0,645
"97",7,2017,1,28,2017-01-28,38.7,23.1,1000.8,10,18.3,25.1,33,45,36,0,0,501
"98",1,2015,1,25,2015-01-25,36.5,26.7,1000.4,9.4,16,22,32.1,45,33.1,0.9,0,406
"99",7,2015,1,24,2015-01-24,38.5,34.8,1003.3,6.7,12.4,25.1,33,45,27,0.23,0,428
"100",2,2013,1,21,2013-01-21,31.2,16,1015.5,9.2,10.1,20,26,45,27,0,0,355
"101",3,2014,1,28,2014-01-28,22.2,-1.3,1020.6,10,10.7,17.1,25.1,45,17.1,0,0,504
"102",6,2016,1,15,2016-01-15,36.5,25.6,1014.8,10,7.2,13,16.9,45,24.1,0,0,722
"103",2,2014,1,27,2014-01-27,38.8,32.3,1008,8.8,12.3,17.1,22.9,45,21,0,0,511
"104",6,2017,1,27,2017-01-27,42.1,29.8,997.8,9.9,20.3,28.9,35.9,45,39.9,0.1,0,583
"105",2,2019,1,7,2019-01-07,27.4,11.7,1024.8,10,17.4,22,31.1,45,21.9,0,0,584
"106",4,2016,1,6,2016-01-06,33.5,19.3,1033.1,10,8.3,17.1,22.23,45,21,0,0,625
"107",6,2017,1,20,2017-01-20,39.9,32.5,1015.5,10,4.3,9.9,12.87,45,37,0,0,605
"108",5,2018,1,11,2018-01-11,38.5,38,1030.1,10,8.6,12,15.6,45,21.9,0,0,696
"109",7,2016,1,30,2016-01-30,37.8,27.3,1011,10,11.6,15,22.9,45,34,0,0,596
"110",7,2015,1,3,2015-01-03,34.5,19.8,1033.9,9.5,11.1,17.1,26,45,30,0,0,456
"111",4,2017,1,25,2017-01-25,41.1,35.1,995.2,8.5,17.4,24.1,33,55,37.9,0.4,0,576
