"","day","mo","temp","NUM_COLLISIONS"
"355",3,2,36.4,-0.279694344768925
"356",2,2,37.1,-0.518946668468262
"357",4,2,33.5,-0.618635136676319
"358",6,2,34.3,1.03619343557743
"359",5,2,31.5,0.228716843092166
"360",6,2,16.8,0.527782247716338
"361",6,2,34.7,-0.668479370780348
"362",5,2,34.1,-0.299632038410537
"363",6,2,33.1,-0.249787804306508
"364",4,2,28.1,-0.140130489277645
"365",6,2,35.4,-0.678448217601154
"366",7,2,49.8,-0.259756651127314
"367",1,2,43,-1.36629864823675
"368",6,2,17.6,0.517813400895532
"369",3,2,21.7,0.208779149450555
"370",5,2,26,0.996318048294206
"371",4,2,25.8,-0.877825154017268
"372",6,2,24.2,1.03619343557743
"373",2,2,29,-0.459133587543428
"374",4,2,29.9,0.288529924017
"375",7,2,41.4,-0.120192795636034
"376",4,2,34.8,-0.329538578872954
"377",5,2,51,0.6374395627452
"378",3,2,29.2,0.70722149049084
"379",3,2,33.1,-0.279694344768925
"380",6,2,28.3,-0.160068182919257
"381",3,2,28.2,-0.808043226271628
"382",3,2,27,-0.857887460375656
"383",7,2,30.7,-2.10399331297637
"384",5,2,36.1,0.527782247716338
"385",6,2,34.2,0.178872608988138
"386",4,2,36.6,0.0393087534968576
"387",5,2,36,-0.0703485615320052
"388",7,2,39.2,-1.49589365690722
"389",2,2,36.4,-0.977513622225325
"390",1,2,38.7,-1.75508367424817
"391",5,2,40.8,0.458000319970698
"392",1,2,36.1,-1.69527059332334
"393",5,2,38.3,-0.0504108678903938
"394",2,2,37.5,-0.309600885231342
"395",6,2,30.9,0.0991218344216919
"396",4,2,36.9,0.717190337311646
"397",4,2,35,-0.469102434364234
"398",2,2,35.9,0.42809377950828
"399",7,2,20.6,-1.6254886655777
"400",7,2,28.4,-0.578759749393096
"401",3,2,30.1,0.886660733265343
"402",7,2,27.4,-1.49589365690722
"403",5,2,28,-0.598697443034708
"404",4,2,21.6,-0.698385911242765
"405",3,2,14.3,-0.189974723381674
"406",5,2,31,-0.728292451705182
"407",5,2,29.4,-0.728292451705182
"408",7,2,27.6,-0.648541677138737
"409",6,2,21.8,1.57451116390094
"410",3,2,29.4,0.876691886444537
"411",5,2,38.1,-0.917700541300491
"412",4,2,42.6,-0.199943570202479
"413",2,2,18.6,-3.07097145459452
"414",4,2,46.9,0.607533022282783
"415",2,3,21.9,1.92342080262914
"416",5,3,22.1,-0.429227047081011
"417",3,3,24.8,-0.668479370780348
"418",4,3,25.4,-0.100255101994422
"419",4,3,30.8,-0.359445119335371
"420",5,3,28.4,-0.608666289855514
"421",4,3,29.5,-1.07720209043338
"422",3,3,27,0.318436464479418
"423",5,3,28.5,2.39195660320701
"424",2,3,33.4,0.507844554074726
"425",5,3,29.9,0.258623383554583
"426",2,3,27.4,-0.518946668468262
"427",2,3,28.9,0.188841455808943
"428",2,3,43.8,0.408156085866669
"429",5,3,40,0.398187239045863
"430",5,3,39,0.119059528063303
"431",2,3,36.7,0.796941111878092
"432",3,3,35,-0.209912417023285
"433",5,3,26.4,1.03619343557743
"434",1,3,35.8,-1.07720209043338
"435",5,3,39.6,0.338374158121029
"436",2,3,36.8,-0.279694344768925
"437",7,3,39.3,-0.688417064421959
"438",7,3,38.7,-0.917700541300491
"439",3,3,39.4,0.288529924017
"440",1,3,38.5,-1.39620518869916
"441",1,3,39.1,-1.32642326095352
"442",5,3,41.7,0.278561077196195
"443",7,3,36.3,-0.489040128005845
"444",6,3,42.3,1.18572613788951
"445",7,3,40.3,-0.837949766734045
"446",7,3,42.9,-0.279694344768925
"447",4,3,41.9,0.727159184132452
"448",4,3,40.4,0.298498770837806
"449",4,3,42.1,-0.339507425693759
"450",2,3,42.5,-0.728292451705182
"451",5,3,38.1,-0.130161642456839
"452",3,3,36.9,0.109090681242498
"453",6,3,41.2,-0.688417064421959
"454",5,3,40.7,0.248654536733778
"455",3,3,40.7,-0.0703485615320052
"456",4,3,41.7,-1.57564443147367
"457",4,3,46.3,0.368280698583446
"458",3,3,39.9,0.368280698583446
"459",3,3,46,-0.518946668468262
"460",4,3,38.6,0.178872608988138
"461",1,3,37,-1.42611172916158
"462",5,3,42.5,-0.499008974826651
"463",7,3,38.1,-1.05726439679177
"464",1,3,36.3,-1.79495906153139
"465",5,3,45.9,0.657377256386812
"466",4,3,45.7,0.537751094537143
"467",4,3,47.4,-0.279694344768925
"468",5,3,47.8,0.537751094537143
"469",6,3,35.5,0.129028374884109
"470",7,3,44.5,-0.857887460375656
"471",6,3,45.2,-0.788105532630016
"472",7,3,46.1,-0.827980919913239
"473",6,3,47,0.448031473149892
"474",7,3,40,-0.588728596213902
"475",3,3,43.2,0.627470715924395
"476",3,3,48.3,0.0891529876008862
"477",5,3,45.1,0.35831185176264
"478",6,3,22.7,3.38884128528758
"479",2,3,30.5,0.866723039623732
"480",7,3,22.9,-0.628603983497125
"481",7,3,35.1,0.42809377950828
"482",3,3,27.7,-0.479071281185039
"483",2,3,32.1,0.238685689912972
"484",3,3,32.5,-0.0205043274279766
"485",7,3,34.8,0.0193710598552462
"486",1,3,33.8,-1.34636095459514
"487",4,3,36.8,-1.21676594592466
"488",2,3,28.5,-0.798074379450822
"489",4,3,34.8,0.527782247716338
"490",6,3,34.3,0.0492776003176634
"491",6,3,33,1.56454231708013
"492",6,3,31.2,0.0791841407800805
"493",7,3,37.4,-1.39620518869916
"494",6,3,33.9,0.856754192802926
"495",1,3,33.2,-0.987482469046131
"496",3,3,28.2,0.398187239045863
"497",2,3,34.5,-0.239818957485702
"498",1,3,35.3,-1.86474098927703
"499",1,3,35.1,-1.66536405286092
"500",7,3,37.1,-0.778136685809211
"501",6,3,37.4,2.51158276505667
"502",5,3,38.3,-0.638572830317931
"503",5,3,32.7,2.30223698181975
"504",7,3,34.2,-0.917700541300491
"505",6,3,31.1,0.0991218344216919
"506",3,3,37.7,0.767034571415675
"507",4,3,36.1,-0.249787804306508
"508",1,3,36,-0.489040128005845
"509",2,3,32.9,-0.698385911242765
"510",2,3,37.4,0.178872608988138
"511",1,3,37.2,-1.19682825228305
"512",6,3,35.3,0.547719941357949
"513",3,3,35.2,-0.339507425693759
"514",1,3,36.3,-1.33639210777433
"515",7,3,34.7,-0.947607081762908
"516",6,3,39.3,0.0393087534968576
"517",1,3,38.9,-1.71520828696495
"518",1,3,39,-1.83483444881462
"519",2,3,37,-0.0205043274279766
"520",3,3,38.5,-0.718323604884377
"521",4,3,39.1,-1.23670363956627
"522",4,3,34.4,-0.369413966156177
"523",1,3,39.6,-1.41614288234078
"524",4,3,38.1,-0.818012073092434
"525",2,3,37.8,0.168903762167332
"526",7,3,38.1,-0.319569732052148
"527",3,3,36.7,0.378249545404252
"528",6,3,37.6,1.53463577661771
"529",7,3,41.3,-0.798074379450822
"530",5,3,36.3,0.448031473149892
"531",2,3,36.4,1.10597536332307
"532",1,3,39.1,-1.47595596326561
"533",3,3,40.8,0.288529924017
"534",3,3,37.6,0.278561077196195
"535",7,3,38.5,-1.1071086308958
"536",6,3,37.5,1.32528999338079
"537",2,3,39.9,-0.768167838988405
"538",2,3,39.2,1.5047292361553
"539",5,3,38.3,-0.907731694479685
"540",4,3,43.4,0.507844554074726
"541",7,3,41.2,0.258623383554583
"542",4,3,46.4,0.607533022282783
"543",2,3,45.1,0.587595328641172
"544",3,3,48.6,0.836816499161315
"545",5,3,51,0.527782247716338
"546",5,3,26.3,-0.409289353439399
"547",4,3,31,-0.518946668468262
"548",3,3,36.3,-2.24355716846765
"549",3,3,38.6,-0.130161642456839
"550",5,3,42.6,-0.738261298525988
"551",1,3,40,-1.39620518869916
"552",3,3,39.8,-1.73514598060656
"553",2,3,38.1,-1.00742016268774
"554",4,3,29.8,0.507844554074726
"555",2,3,41.7,0.458000319970698
"556",2,3,42,0.298498770837806
"557",1,3,36.8,-1.36629864823675
"558",3,3,38.6,-0.708354758063571
"559",3,3,39.6,-0.399320506618594
"560",6,3,46.8,-0.189974723381674
"561",1,3,43,-1.72517713378575
"562",6,3,45.3,2.84055471014326
"563",4,3,45.9,0.0991218344216919
"564",5,3,41.6,0.138997221704915
"565",7,3,40.2,0.0991218344216919
"566",6,3,42.4,-0.668479370780348
"567",3,3,41.3,-0.887794000838074
"568",7,3,43.6,-0.100255101994422
"569",5,3,45.4,0.129028374884109
"570",1,3,46.3,-1.61551981875689
"571",2,3,27.2,-0.130161642456839
"572",6,3,29.4,-0.658510523959542
"573",5,3,36.1,1.60441770436335
"574",3,3,31.4,0.0193710598552462
"575",1,3,35.2,-1.94449176384348
"576",5,3,36.5,0.896629580086149
"577",1,3,34.8,-1.72517713378575
"578",6,3,36.1,1.53463577661771
"579",1,3,34.9,-0.937638234942102
"580",1,3,37.4,-0.967544775404519
"581",1,3,35.1,-2.54262257309182
"582",1,3,27.2,-0.728292451705182
"583",2,3,37.8,-0.399320506618594
"584",7,3,33.3,-0.369413966156177
"585",6,3,50.8,-0.528915515289068
"586",7,3,44.8,-0.688417064421959
"587",1,3,49.2,-1.48592481008642
"588",1,3,50.1,-1.6354575123985
"589",1,3,23.1,0.936504967369372
"590",2,3,27.3,-1.58561327829447
"591",4,3,43.4,-0.837949766734045
"592",1,3,20,-0.827980919913239
"593",5,3,32.2,-0.538884362109874
"594",2,3,33.5,-0.857887460375656
"595",7,3,39.2,-0.299632038410537
"596",7,3,38.2,-1.24667248638708
"597",2,3,37.9,-0.957575928583714
"598",4,3,35,-0.738261298525988
"599",4,3,36.5,-0.588728596213902
"600",1,3,34.5,-0.957575928583714
"601",4,3,34.5,-0.369413966156177
"602",6,3,39.3,-0.100255101994422
"603",2,3,35.6,0.617501869103589
"604",3,3,36.5,-0.150099336098451
"605",7,3,35.1,-0.758198992167599
"606",4,3,36.9,-0.150099336098451
"607",4,3,33.6,-0.608666289855514
"608",2,3,36.8,-0.429227047081011
"609",5,3,37,-0.419258200260205
"610",7,3,22.5,-0.508977821647457
"611",6,3,35.5,1.5146980829761
"612",5,3,46.7,0.198810302629749
"613",5,3,49.6,0.298498770837806
"614",6,3,46.8,0.727159184132452
"615",7,3,25,-0.209912417023285
"616",1,3,20.8,-1.09713978407499
"617",6,3,30.3,-0.289663191589731
"618",5,3,27.6,-0.170037029740062
"619",3,3,26.5,-1.24667248638708
"620",6,3,27.2,0.527782247716338
"621",7,3,24.1,-1.01738900950855
"622",6,3,25.4,-0.140130489277645
"623",6,3,26.7,1.11594421014387
"624",6,3,44.4,-0.359445119335371
"625",4,3,45.2,0.298498770837806
"626",6,3,33.2,1.45488500205127
"627",6,3,45.3,0.737128030953258
"628",7,3,44.9,-0.299632038410537
"629",3,3,44.4,0.328405311300223
"630",7,3,46.9,-0.489040128005845
"631",4,3,48.6,0.21874799627136
"632",4,4,43.5,0.517813400895532
"633",6,4,40.4,-1.02735785632935
"634",4,4,37.9,0.487906860433115
"635",4,4,41.2,-1.41614288234078
